Removed Pin From Net: NetName=5V Pin=J5-1
Added Pin To Net: NetName=8.4V Pin=J5-1
Added Pin To Net: NetName=8.4V Pin=J6-1
Added Pin To Net: NetName=GND Pin=J6-2
Added Pin To Net: NetName=NetJ1_47 Pin=J6-3
Added Pin To Net: NetName=8.4V Pin=J6-4
Added Pin To Net: NetName=GND Pin=J6-5
Added Pin To Net: NetName=NetJ1_48 Pin=J6-6
Added Pin To Net: NetName=8.4V Pin=J6-7
Added Pin To Net: NetName=GND Pin=J6-8
Added Pin To Net: NetName=NetJ1_27 Pin=J6-9
Added Pin To Net: NetName=8.4V Pin=J7-1
Added Pin To Net: NetName=GND Pin=J7-2
Added Pin To Net: NetName=NetJ1_9 Pin=J7-3
Added Pin To Net: NetName=NetJ1_10 Pin=J7-4
Added Pin To Net: NetName=8.4V Pin=J8-1
Added Pin To Net: NetName=GND Pin=J8-2
Added Pin To Net: NetName=NetJ1_41 Pin=J8-3
Added Pin To Net: NetName=NetJ1_42 Pin=J8-4
Added Pin To Net: NetName=8.4V Pin=J8-5
Added Pin To Net: NetName=GND Pin=J8-6
Added Pin To Net: NetName=NetJ1_39 Pin=J8-7
Added Pin To Net: NetName=NetJ1_40 Pin=J8-8
Added Pin To Net: NetName=8.4V Pin=J9-1
Added Pin To Net: NetName=NetJ1_49 Pin=J9-2
Added Pin To Net: NetName=NetJ1_50 Pin=J9-3
Added Pin To Net: NetName=NetJ1_51 Pin=J9-4
Added Pin To Net: NetName=NetJ1_52 Pin=J9-5
Added Pin To Net: NetName=NetJ1_53 Pin=J9-6
Added Pin To Net: NetName=NetJ1_54 Pin=J9-7
Added Pin To Net: NetName=NetJ1_55 Pin=J9-8
Added Pin To Net: NetName=NetJ1_56 Pin=J9-9
Added Pin To Net: NetName=GND Pin=J9-10
Added Pin To Net: NetName=8.4V Pin=J10-1
Added Pin To Net: NetName=GND Pin=J10-2
Added Pin To Net: NetName=NetJ1_28 Pin=J10-3
Added Pin To Net: NetName=8.4V Pin=J10-4
Added Pin To Net: NetName=GND Pin=J10-5
Added Pin To Net: NetName=NetJ1_29 Pin=J10-6
Added Pin To Net: NetName=8.4V Pin=J10-7
Added Pin To Net: NetName=GND Pin=J10-8
Added Pin To Net: NetName=NetJ1_30 Pin=J10-9
Added Pin To Net: NetName=8.4V Pin=J10-10
Added Pin To Net: NetName=GND Pin=J10-11
Added Pin To Net: NetName=NetJ1_38 Pin=J10-12
Added Pin To Net: NetName=8.4V Pin=J11-1
Added Pin To Net: NetName=GND Pin=J11-2
Added Pin To Net: NetName=NetJ1_37 Pin=J11-3
Added Pin To Net: NetName=8.4V Pin=J11-4
Added Pin To Net: NetName=GND Pin=J11-5
Added Pin To Net: NetName=NetJ1_25 Pin=J11-6
Added Pin To Net: NetName=8.4V Pin=J11-7
Added Pin To Net: NetName=GND Pin=J11-8
Added Pin To Net: NetName=NetJ1_26 Pin=J11-9
Added Pin To Net: NetName=8.4V Pin=J11-10
Added Pin To Net: NetName=GND Pin=J11-11
Added Pin To Net: NetName=NetJ1_38 Pin=J11-12
Added Pin To Net: NetName=5V Pin=J12-1
Added Pin To Net: NetName=GND Pin=J12-2
Added Pin To Net: NetName=NetJ1_43 Pin=J12-3
Added Pin To Net: NetName=NetJ1_44 Pin=J12-4
Added Pin To Net: NetName=5V Pin=J12-5
Added Pin To Net: NetName=GND Pin=J12-6
Added Pin To Net: NetName=NetJ1_45 Pin=J12-7
Added Pin To Net: NetName=NetJ1_46 Pin=J12-8
Added Pin To Net: NetName=NetJ5_5 Pin=J5-5
Added Pin To Net: NetName=NetJ5_5 Pin=J7-5
Added Net: Name=NetJ5_5
